,Mkt-RF,SMB,HML,RMW,CMA,Mom   ,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,LT_Rev,ST_Rev
1963-07-01,-0.0067,0.0,-0.0032,-0.0001,0.0015,-0.0021,-0.0031,-0.005600000000000001,-0.0074,-0.008199999999999999,-0.015,-0.0061,-0.0034999999999999996,-0.008,-0.0018,-0.0068000000000000005,-0.003,0.0019
1963-07-02,0.0079,-0.0027,0.0027,-0.0007000000000000001,-0.0019,0.0045000000000000005,0.0048,0.0094,0.006999999999999999,0.0096,0.0192,0.009000000000000001,0.0043,0.0067,0.0048,0.006999999999999999,0.0015,0.0040999999999999995
1963-07-03,0.0063,-0.0017000000000000001,-0.0009,0.0017000000000000001,-0.0033000000000000004,0.004,0.005600000000000001,0.0047,0.0058,0.0102,0.0094,0.0076,0.0084,0.0072,0.0012,0.005699999999999999,-0.002,0.0002
1963-07-05,0.004,0.0008,-0.0028000000000000004,0.0008,-0.0033000000000000004,0.0006,0.0023,0.0043,0.0038,0.0089,0.0062,0.0025,0.0008,0.0074,0.0013000000000000002,0.0021,-0.0009,0.0013000000000000002
1963-07-08,-0.0063,0.0004,-0.0018,-0.0029,0.0013000000000000002,-0.0046,-0.0029,-0.0096,-0.006,-0.0079,-0.0152,-0.0062,-0.0008,-0.005200000000000001,0.0002,-0.0074,-0.0025,-0.0001
1963-07-09,0.0045000000000000005,0.0,0.001,0.0014000000000000002,-0.0004,0.0044,0.0025,0.0034000000000000002,0.0047,0.0068000000000000005,0.0094,0.0015,0.0023,0.0044,0.0021,0.0095,0.0026000000000000003,0.0
1963-07-10,-0.0018,0.0021,0.0001,0.0006,-0.0007000000000000001,0.0016,-0.0012,-0.0033000000000000004,-0.0017000000000000001,0.0004,-0.0059,-0.0022,-0.0029,-0.0015,-0.002,0.001,0.0002,-0.0004
1963-07-11,-0.0016,0.0014000000000000002,-0.003,-0.0006,0.0005,-0.001,-0.0004,-0.0043,-0.002,-0.0001,-0.005200000000000001,-0.0004,-0.0019,-0.0002,0.0013000000000000002,-0.0034999999999999996,-0.0015,-0.0003
1963-07-12,-0.0012,0.0002,-0.0011,0.0012,0.0004,-0.0018,-0.0006,-0.0049,-0.0011,0.0036,-0.0031,-0.002,-0.0001,-0.0036,-0.0011,-0.003,-0.001,-0.0019
1963-07-15,-0.0062,0.0007000000000000001,-0.0003,0.0017000000000000001,-0.0006,-0.0024,-0.0046,-0.0089,-0.0072,-0.0087,-0.0025,-0.0062,-0.0044,-0.0038,-0.0026000000000000003,-0.005200000000000001,-0.0024,0.0031
1963-07-16,-0.0007000000000000001,-0.0008,0.0014000000000000002,-0.0006,-0.0007000000000000001,0.0012,-0.0040999999999999995,0.003,-0.0018,-0.0017000000000000001,0.0017000000000000001,0.0031,-0.0018,0.0026000000000000003,-0.002,-0.0004,-0.0003,0.0031
1963-07-17,-0.0033000000000000004,-0.0007000000000000001,0.0015,0.0004,0.001,0.0001,-0.0047,-0.003,-0.0034000000000000002,-0.0012,-0.0058,-0.0039000000000000003,-0.0045000000000000005,-0.0044,-0.002,-0.0032,-0.0021,0.002
1963-07-18,-0.0054,0.0027,0.0005,-0.0003,0.0032,-0.0001,-0.0015,-0.0101,-0.0044,-0.006999999999999999,-0.008199999999999999,-0.0024,-0.0103,-0.0055000000000000005,-0.0015,-0.0058,0.0028000000000000004,0.0004
1963-07-19,-0.0023,-0.0006,-0.0005,0.0016,-0.0031,-0.0016,-0.0014000000000000002,-0.0011,-0.004,-0.0042,-0.0003,0.0007000000000000001,0.0009,-0.005200000000000001,0.0005,-0.0040999999999999995,-0.005,0.0005
1963-07-22,-0.006999999999999999,-0.001,-0.0031,-0.0001,-0.001,-0.0040999999999999995,-0.0068000000000000005,-0.0089,-0.0077,-0.0076,-0.0063,-0.0047,-0.0055000000000000005,-0.0040999999999999995,-0.0045000000000000005,-0.0086,-0.0038,-0.0007000000000000001
1963-07-23,0.0001,-0.001,-0.002,0.0004,-0.0008,0.0,0.0005,-0.0011,-0.0015,0.0036,-0.0038,0.0054,0.0028000000000000004,-0.0013000000000000002,0.0008,-0.0064,0.0011,-0.001
1963-07-24,0.0046,-0.001,-0.0001,-0.0011,-0.0031,0.0042,0.0033000000000000004,0.009000000000000001,0.0031,0.0101,0.008100000000000001,0.0004,0.0040999999999999995,0.008199999999999999,0.0001,0.0034000000000000002,-0.0014000000000000002,0.0012
1963-07-25,-0.0004,0.0014000000000000002,0.0026000000000000003,-0.0016,0.0018,0.0007000000000000001,0.001,-0.0046,-0.0005,-0.0001,0.0004,-0.0046,0.0004,0.0034000000000000002,0.0047,-0.0002,-0.0011,0.0022
1963-07-26,0.0034999999999999996,-0.0014000000000000002,0.0007000000000000001,0.0004,-0.0008,0.0026000000000000003,0.0004,0.011399999999999999,0.0011,0.0076,0.0040999999999999995,0.0034000000000000002,0.0004,-0.0005,0.0009,0.0043,0.0001,-0.0012
1963-07-29,0.0011,-0.0017000000000000001,0.0026000000000000003,0.0007000000000000001,-0.0011,0.0019,0.0004,0.0034999999999999996,0.0016,0.0001,-0.0002,-0.0008,0.0,0.0049,0.0017000000000000001,0.0027,0.0014000000000000002,0.0012
1963-07-30,0.0084,-0.0029,-0.0027,0.0053,-0.004,0.005200000000000001,0.0036,0.0209,0.0078000000000000005,0.009300000000000001,0.018000000000000002,0.005600000000000001,0.0039000000000000003,0.0053,0.0040999999999999995,0.0044,0.0008,0.0018
1963-07-31,-0.0013000000000000002,0.0011,-0.0001,-0.0015,0.0034000000000000002,0.0002,0.0021,-0.0042,0.0001,-0.0003,-0.010700000000000001,-0.0018,-0.0029,-0.0012,0.002,-0.0013000000000000002,-0.0024,0.0051
